"År","Arbeiderpartiet","Fremskrittspartiet","Høyre","Kristelig.Folkeparti","Senterpartiet","Sosialistisk.Venstreparti","Venstre","Miljøpartiet.de.Grønne","Norges.Kommunistiske.Parti","Pensjonistpartiet","Rød.valgallianse","Det.Liberale.Folkepartiet","Fedrelandspartiet","Stopp.Innvandringen","Fylkeslistene.for.miljø.og.solidaritet","Felles.framtid","Frihetspartiet","Hjelp.fremmedkulturelle.hjem.ellers....","Kristent.konservativt.parti","Naturlovpartiet","Samfunnspartiet","Samlingspartiet..Ny.Fremtid.","Frie.Folkevalgte","Folkeaksjonen.Fremtid.for.Finnmark","Hvit.Valgallianse","Tverrpolitisk.kyst.og.distriktsparti","Rettferdighetspartiet","Barn.Eldre","Samefolkets.liste","Kystpartiet","Det.Politiske.Parti","Sosialdemokratene","Kristent.Samlingsparti","Norsk.Folkeparti","Rødt","Abort.motstandernes.liste","Sosialistisk.Folkeparti..1961.1969.","Bondepartiet..t.o.m..1959.","Sogn.og.Fjordane.fisker..og.småbrukerparti","Norsk.Sosialdemokratisk.parti","Det.nye.Folkepartiet..1973.1977.","Anders.Langes.parti..1973.","Ensliges.parti","Kvinnenes.frie.folkevalgte","Norges.demokratiske.parti","Sosialistisk.Valgforbund..1973.","Demokratene.i.Norge","De.Kristne","Piratpartiet","Folkeliste.mot.oljeboring.i.Lofoten..Vesterålen.og.Senja","Folkemakten","Sykehus.til.Alta","Felleslister","Fellesliste.Venstre","Fellesliste.Bondepartiet","Fellesliste.Kristelig.folkeparti","Fellesliste.Høyre","Fellesliste.Senterpartiet","Fellesliste.Norges.Kommunistiske.Parti.og.Sosialistisk.Folkeparti","Fellesliste.Det.nye.Folkepartiet","Borgerlige.felleslister","Lokale.lister","Andre.lister","Andre"
1945,609348,0,252608,117813,0,0,204852,0,176535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119362,4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1949,803471,0,279790,147068,0,0,218866,0,102722,0,0,0,0,0,0,0,0,0,0,0,13088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18821,55782,1352,31958,0,0,0,0,0,0,30
1953,830448,0,327971,186627,0,0,177662,0,90422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,6061,0,0,0,0,0,0,22
1957,865675,0,301395,183243,0,0,171407,0,60060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154761,0,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,12312,0,37708,0,0,0,0,0,0,372
1961,860526,0,354369,171451,125643,0,134789,0,53678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43996,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,28368,0,5009,14400,47454,0,0,0,0,0,64
1965,883320,0,415612,160331,191702,0,207834,0,27996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,0,5133,17667,10361,0,0,0,0,0,365
1969,1004348,0,406209,169303,194128,0,202553,0,21517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32050,16667,34356,3203,0,0,0,0,1094
1973,759499,0,370370,255456,146312,241851,49668,0,0,0,9360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73854,107784,5113,1866,2125,0,0,0,0,0,0,0,0,27143,0,10228,3644,87076,0,0,0,0,0,855
1977,972434,43351,563783,224355,184087,96248,54243,0,8448,0,14515,0,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22524,0,2740,0,1322,0,0,0,0,0,0,0,0,20026,0,61996,5927,13250,0,10213,0,0,0,499
1981,925087,113135,792573,222313,105921,125353,80222,0,7154,0,18602,13804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87163,0,0,3749
1985,1061712,96797,791537,214969,171770,141950,81202,0,4245,7846,14818,12958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
1989,907393,345185,588682,224852,171269,266782,84740,10136,0,7863,0,470,0,8963,22139,0,0,0,0,0,0,0,313,8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,908724,154497,419373,193885,412187,194633,88985,3054,361,25835,26360,725,11694,1952,0,548,774,0,1974,1853,95,8777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5663
1997,904362,395376,370441,353082,204824,155307,115077,5884,1979,16031,43252,258,3805,0,0,0,0,0,1386,2207,214,491,0,0,463,9195,281,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,612632,369236,534852,312839,140287,316397,98486,3785,1726,17940,30015,166,2353,0,0,0,0,0,0,269,0,0,0,0,0,1052,0,0,0,44010,19457,351,6742,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7616
2005,862456,581896,371948,178885,171063,232971,156113,3652,1070,13556,32355,213,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,659,21948,0,0,3911,0,0,1934,0,0,0,0,0,0,0,0,0,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884
2009,949049,614717,462458,148748,165006,166361,104144,9286,697,11900,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5341,0,0,4936,0,36219,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406
2013,874769,463560,760232,158475,155357,116021,148275,79152,611,11865,0,909,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,3311,0,0,1722,0,30751,0,0,0,0,0,0,0,0,0,0,0,2214,17731,9869,268,175,467,0,0,0,0,0,0,0,0,0,0,0,0
